,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.4936124384403229,11.399212121963501,"[0, 1, 2]",[3]
200,200,0.483146071434021,12.002182960510254,"[0, 1, 2]",[3]
300,300,0.48514699935913086,12.263089418411255,"[0, 1, 2]",[3]
400,400,0.48545482754707336,11.775009632110596,"[0, 1, 2]",[3]
500,500,0.48329997062683105,12.527963161468506,"[0, 1, 2]",[3]
600,600,0.48991841077804565,12.611496448516846,"[0, 1, 2]",[3]
700,700,0.48268431425094604,13.156392097473145,"[0, 1, 2]",[3]
800,800,0.47514235973358154,13.420852899551392,"[0, 1, 2]",[3]
900,900,0.4891488254070282,13.401074171066284,"[0, 1, 2]",[3]
1000,1000,0.48299214243888855,13.270030736923218,"[0, 1, 2]",[3]
1100,1100,0.4856087565422058,14.061234712600708,"[0, 1, 2]",[3]
1200,1200,0.4726797044277191,13.946477890014648,"[0, 1, 2]",[3]
1300,1300,0.466369092464447,13.998974323272705,"[0, 1, 2]",[3]
1400,1400,0.48668617010116577,15.182818412780762,"[0, 1, 2]",[3]
1500,1500,0.49114975333213806,15.970093011856079,"[0, 1, 2]",[3]
1600,1600,0.4819147288799286,15.592811107635498,"[0, 1, 2]",[3]
1700,1700,0.48930275440216064,16.19685959815979,"[0, 1, 2]",[3]
1800,1800,0.48006772994995117,16.58519697189331,"[0, 1, 2]",[3]
1900,1900,0.4903801679611206,15.715102672576904,"[0, 1, 2]",[3]
2000,2000,0.490995854139328,16.13284397125244,"[0, 1, 2]",[3]
