,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.9318146705627441,10.862167119979858,"[0, 1, 2]",[3]
200,200,0.9318146705627441,10.864226341247559,"[0, 1, 2]",[3]
300,300,0.9318146705627441,12.333878993988037,"[0, 1, 2]",[3]
400,400,0.9318146705627441,12.64846158027649,"[0, 1, 2]",[3]
500,500,0.9316607713699341,13.275600910186768,"[0, 1, 2]",[3]
600,600,0.9316607713699341,12.939837217330933,"[0, 1, 2]",[3]
700,700,0.9316607713699341,13.107643365859985,"[0, 1, 2]",[3]
800,800,0.9316607713699341,13.17127537727356,"[0, 1, 2]",[3]
900,900,0.9316607713699341,14.204277038574219,"[0, 1, 2]",[3]
1000,1000,0.9316607713699341,13.845091104507446,"[0, 1, 2]",[3]
1100,1100,0.9316607713699341,14.598399877548218,"[0, 1, 2]",[3]
1200,1200,0.9316607713699341,14.677177667617798,"[0, 1, 2]",[3]
1300,1300,0.9316607713699341,14.021733522415161,"[0, 1, 2]",[3]
1400,1400,0.9316607713699341,13.915293455123901,"[0, 1, 2]",[3]
1500,1500,0.9316607713699341,14.470718145370483,"[0, 1, 2]",[3]
1600,1600,0.9316607713699341,16.73549199104309,"[0, 1, 2]",[3]
1700,1700,0.9316607713699341,16.89674210548401,"[0, 1, 2]",[3]
1800,1800,0.9316607713699341,15.665314435958862,"[0, 1, 2]",[3]
1900,1900,0.9316607713699341,14.841128587722778,"[0, 1, 2]",[3]
2000,2000,0.9316607713699341,15.80471420288086,"[0, 1, 2]",[3]
