,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.9863013625144958,11.242479801177979,"[0, 1, 2]",[3]
200,200,0.9867631196975708,10.787901878356934,"[0, 1, 2]",[3]
300,300,0.9869170188903809,11.681769132614136,"[0, 1, 2]",[3]
400,400,0.9864552617073059,11.884944915771484,"[0, 1, 2]",[3]
500,500,0.9863013625144958,12.364122152328491,"[0, 1, 2]",[3]
600,600,0.9866092205047607,12.377626419067383,"[0, 1, 2]",[3]
700,700,0.9856857061386108,12.94321322441101,"[0, 1, 2]",[3]
800,800,0.9861474633216858,12.815844297409058,"[0, 1, 2]",[3]
900,900,0.9864552617073059,13.77310061454773,"[0, 1, 2]",[3]
1000,1000,0.9861474633216858,13.679818391799927,"[0, 1, 2]",[3]
1100,1100,0.9861474633216858,14.082192420959473,"[0, 1, 2]",[3]
1200,1200,0.9867631196975708,14.403199911117554,"[0, 1, 2]",[3]
1300,1300,0.9861474633216858,14.713007688522339,"[0, 1, 2]",[3]
1400,1400,0.9867631196975708,14.915963411331177,"[0, 1, 2]",[3]
1500,1500,0.9866092205047607,15.462156295776367,"[0, 1, 2]",[3]
1600,1600,0.9846082925796509,15.35249376296997,"[0, 1, 2]",[3]
1700,1700,0.9852239489555359,15.40808629989624,"[0, 1, 2]",[3]
1800,1800,0.9864552617073059,15.148903369903564,"[0, 1, 2]",[3]
1900,1900,0.9859935641288757,14.924100160598755,"[0, 1, 2]",[3]
2000,2000,0.9858396053314209,15.720741510391235,"[0, 1, 2]",[3]
