,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.936923086643219,9.583727359771729,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
200,200,0.936923086643219,9.997883558273315,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
300,300,0.936923086643219,10.722932577133179,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
400,400,0.9384615421295166,11.130235195159912,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
500,500,0.9384615421295166,11.475994110107422,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
600,600,0.936923086643219,11.73801040649414,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
700,700,0.936923086643219,11.784461259841919,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
800,800,0.9384615421295166,12.032689332962036,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
900,900,0.936923086643219,12.235912322998047,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1000,1000,0.936923086643219,13.755314588546753,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1100,1100,0.936923086643219,14.030194997787476,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1200,1200,0.936923086643219,13.877893924713135,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1300,1300,0.9399999976158142,14.681817054748535,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1400,1400,0.936923086643219,15.53599214553833,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1500,1500,0.936923086643219,15.77837872505188,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1600,1600,0.936923086643219,15.007910251617432,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1700,1700,0.9399999976158142,16.385669469833374,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1800,1800,0.936923086643219,16.74726104736328,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
1900,1900,0.936923086643219,16.137393712997437,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
2000,2000,0.936923086643219,16.200154542922974,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[13]
