,dense value,accuracy,duration,X_train columns,Y_train columns
100,100,0.9318146705627441,11.034765005111694,"[0, 1, 2]",[3]
200,200,0.9318146705627441,11.057664632797241,"[0, 1, 2]",[3]
300,300,0.9318146705627441,11.513448238372803,"[0, 1, 2]",[3]
400,400,0.9318146705627441,11.920315742492676,"[0, 1, 2]",[3]
500,500,0.9318146705627441,12.30930495262146,"[0, 1, 2]",[3]
600,600,0.9318146705627441,12.741064071655273,"[0, 1, 2]",[3]
700,700,0.9316607713699341,12.720529794692993,"[0, 1, 2]",[3]
800,800,0.9316607713699341,13.104679107666016,"[0, 1, 2]",[3]
900,900,0.9316607713699341,13.519367456436157,"[0, 1, 2]",[3]
1000,1000,0.9316607713699341,13.62410593032837,"[0, 1, 2]",[3]
1100,1100,0.9316607713699341,14.585594892501831,"[0, 1, 2]",[3]
1200,1200,0.9316607713699341,13.905000925064087,"[0, 1, 2]",[3]
1300,1300,0.9316607713699341,15.087125778198242,"[0, 1, 2]",[3]
1400,1400,0.9316607713699341,14.32918930053711,"[0, 1, 2]",[3]
1500,1500,0.9316607713699341,15.158141136169434,"[0, 1, 2]",[3]
1600,1600,0.9316607713699341,16.255056381225586,"[0, 1, 2]",[3]
1700,1700,0.9316607713699341,14.815266847610474,"[0, 1, 2]",[3]
1800,1800,0.9316607713699341,16.020129442214966,"[0, 1, 2]",[3]
1900,1900,0.9316607713699341,15.129326343536377,"[0, 1, 2]",[3]
2000,2000,0.9316607713699341,17.296630382537842,"[0, 1, 2]",[3]
