,dense value,loss,duration,Y_test,Y_pred
0,500,"[0.4709848356966633, 0.5603715181350708]",13.346357345581055,6.0,5.459883689880371
1,500,"[0.4709848356966633, 0.5603715181350708]",13.352341175079346,6.0,5.548341751098633
2,500,"[0.4709848356966633, 0.5603715181350708]",13.358325242996216,7.0,6.428551197052002
3,500,"[0.4709848356966633, 0.5603715181350708]",13.364309310913086,5.0,6.1793365478515625
4,500,"[0.4709848356966633, 0.5603715181350708]",13.369295835494995,7.0,6.105696678161621
5,500,"[0.4709848356966633, 0.5603715181350708]",13.375279903411865,6.0,5.524340629577637
6,500,"[0.4709848356966633, 0.5603715181350708]",13.380266666412354,5.0,5.366479873657227
7,500,"[0.4709848356966633, 0.5603715181350708]",13.386251449584961,6.0,5.311897277832031
8,500,"[0.4709848356966633, 0.5603715181350708]",13.391238451004028,6.0,5.3287034034729
9,500,"[0.4709848356966633, 0.5603715181350708]",13.39622449874878,6.0,5.25930643081665
10,500,"[0.4709848356966633, 0.5603715181350708]",13.402207851409912,6.0,5.598699569702148
11,500,"[0.4709848356966633, 0.5603715181350708]",13.40722370147705,6.0,5.757934093475342
12,500,"[0.4709848356966633, 0.5603715181350708]",13.41317868232727,6.0,6.074782848358154
13,500,"[0.4709848356966633, 0.5603715181350708]",13.41816520690918,6.0,5.683615684509277
14,500,"[0.4709848356966633, 0.5603715181350708]",13.42414927482605,6.0,5.569591522216797
15,500,"[0.4709848356966633, 0.5603715181350708]",13.429136037826538,6.0,6.348549842834473
16,500,"[0.4709848356966633, 0.5603715181350708]",13.434627294540405,7.0,6.238555908203125
17,500,"[0.4709848356966633, 0.5603715181350708]",13.440611362457275,6.0,6.1961822509765625
18,500,"[0.4709848356966633, 0.5603715181350708]",13.446595430374146,4.0,6.000666618347168
19,500,"[0.4709848356966633, 0.5603715181350708]",13.451582193374634,5.0,5.5189433097839355
20,500,"[0.4709848356966633, 0.5603715181350708]",13.457566022872925,5.0,5.690046787261963
21,500,"[0.4709848356966633, 0.5603715181350708]",13.463549852371216,5.0,5.318319320678711
22,500,"[0.4709848356966633, 0.5603715181350708]",13.469534397125244,6.0,5.25115966796875
23,500,"[0.4709848356966633, 0.5603715181350708]",13.474520921707153,7.0,6.274943828582764
24,500,"[0.4709848356966633, 0.5603715181350708]",13.480504751205444,8.0,5.586715221405029
25,500,"[0.4709848356966633, 0.5603715181350708]",13.486488342285156,5.0,5.711258888244629
26,500,"[0.4709848356966633, 0.5603715181350708]",13.492472410202026,6.0,5.521585464477539
27,500,"[0.4709848356966633, 0.5603715181350708]",13.497459173202515,5.0,5.2167067527771
28,500,"[0.4709848356966633, 0.5603715181350708]",13.503443241119385,5.0,5.991499900817871
29,500,"[0.4709848356966633, 0.5603715181350708]",13.508430004119873,6.0,5.961501121520996
30,500,"[0.4709848356966633, 0.5603715181350708]",13.514414310455322,5.0,5.800632476806641
31,500,"[0.4709848356966633, 0.5603715181350708]",13.521394729614258,7.0,5.500269889831543
32,500,"[0.4709848356966633, 0.5603715181350708]",13.526382446289062,6.0,5.637907981872559
33,500,"[0.4709848356966633, 0.5603715181350708]",13.532366514205933,6.0,5.471511363983154
34,500,"[0.4709848356966633, 0.5603715181350708]",13.537353754043579,5.0,4.948115348815918
35,500,"[0.4709848356966633, 0.5603715181350708]",13.54233980178833,6.0,5.687812328338623
36,500,"[0.4709848356966633, 0.5603715181350708]",13.548323154449463,6.0,5.621214389801025
37,500,"[0.4709848356966633, 0.5603715181350708]",13.553310632705688,6.0,5.951937675476074
