,dense value,loss,duration,Y_test,Y_pred
0,500,"[0.49168068502709594, 0.5433436632156372]",26.496150255203247,6.0,5.406844615936279
1,500,"[0.49168068502709594, 0.5433436632156372]",26.502134561538696,6.0,5.653147220611572
2,500,"[0.49168068502709594, 0.5433436632156372]",26.508119344711304,7.0,6.527501583099365
3,500,"[0.49168068502709594, 0.5433436632156372]",26.513105869293213,5.0,6.366765975952148
4,500,"[0.49168068502709594, 0.5433436632156372]",26.5180926322937,7.0,6.23357629776001
5,500,"[0.49168068502709594, 0.5433436632156372]",26.524091482162476,6.0,5.431687355041504
6,500,"[0.49168068502709594, 0.5433436632156372]",26.529062509536743,5.0,5.579809665679932
7,500,"[0.49168068502709594, 0.5433436632156372]",26.535046577453613,6.0,5.669575214385986
8,500,"[0.49168068502709594, 0.5433436632156372]",26.540033102035522,6.0,5.2610650062561035
9,500,"[0.49168068502709594, 0.5433436632156372]",26.54501962661743,6.0,5.30391788482666
10,500,"[0.49168068502709594, 0.5433436632156372]",26.5500066280365,6.0,5.694584846496582
11,500,"[0.49168068502709594, 0.5433436632156372]",26.55599045753479,6.0,5.942941188812256
12,500,"[0.49168068502709594, 0.5433436632156372]",26.56097674369812,6.0,6.189708232879639
13,500,"[0.49168068502709594, 0.5433436632156372]",26.56696081161499,6.0,5.764083385467529
14,500,"[0.49168068502709594, 0.5433436632156372]",26.5719473361969,6.0,5.722540378570557
15,500,"[0.49168068502709594, 0.5433436632156372]",26.57793140411377,6.0,6.5272440910339355
16,500,"[0.49168068502709594, 0.5433436632156372]",26.58291792869568,7.0,6.364067077636719
17,500,"[0.49168068502709594, 0.5433436632156372]",26.587904691696167,6.0,6.348831653594971
18,500,"[0.49168068502709594, 0.5433436632156372]",26.593888521194458,4.0,6.075992107391357
19,500,"[0.49168068502709594, 0.5433436632156372]",26.598875284194946,5.0,5.474954128265381
20,500,"[0.49168068502709594, 0.5433436632156372]",26.604860544204712,5.0,5.693607330322266
21,500,"[0.49168068502709594, 0.5433436632156372]",26.61084270477295,5.0,5.285068035125732
22,500,"[0.49168068502709594, 0.5433436632156372]",26.615830421447754,6.0,5.600748538970947
23,500,"[0.49168068502709594, 0.5433436632156372]",26.620835065841675,7.0,6.4611358642578125
24,500,"[0.49168068502709594, 0.5433436632156372]",26.626800775527954,8.0,5.714056968688965
25,500,"[0.49168068502709594, 0.5433436632156372]",26.631787300109863,5.0,5.788623809814453
26,500,"[0.49168068502709594, 0.5433436632156372]",26.637771368026733,6.0,5.706949710845947
27,500,"[0.49168068502709594, 0.5433436632156372]",26.642757892608643,5.0,5.339756488800049
28,500,"[0.49168068502709594, 0.5433436632156372]",26.648741960525513,5.0,6.069366931915283
29,500,"[0.49168068502709594, 0.5433436632156372]",26.653728723526,6.0,6.08508825302124
