,dense value,loss,duration,Y_test,Y_pred
0,200,"[0.5527178415388515, 0.4829721450805664]",45.72276186943054,6.0,5.857693195343018
1,200,"[0.5527178415388515, 0.4829721450805664]",45.729743003845215,6.0,6.083222389221191
2,200,"[0.5527178415388515, 0.4829721450805664]",45.7347309589386,7.0,6.732882022857666
3,200,"[0.5527178415388515, 0.4829721450805664]",45.74071407318115,6.0,5.981204509735107
4,200,"[0.5527178415388515, 0.4829721450805664]",45.74570083618164,6.0,5.702716827392578
5,200,"[0.5527178415388515, 0.4829721450805664]",45.75168442726135,5.0,5.4820942878723145
6,200,"[0.5527178415388515, 0.4829721450805664]",45.75667142868042,7.0,6.156303882598877
7,200,"[0.5527178415388515, 0.4829721450805664]",45.76265549659729,7.0,5.756255149841309
8,200,"[0.5527178415388515, 0.4829721450805664]",45.76764178276062,5.0,5.576419353485107
9,200,"[0.5527178415388515, 0.4829721450805664]",45.77362585067749,5.0,5.033646106719971
10,200,"[0.5527178415388515, 0.4829721450805664]",45.77861285209656,6.0,5.709502696990967
11,200,"[0.5527178415388515, 0.4829721450805664]",45.78459668159485,6.0,6.5046067237854
12,200,"[0.5527178415388515, 0.4829721450805664]",45.78958296775818,5.0,5.940918445587158
13,200,"[0.5527178415388515, 0.4829721450805664]",45.79510283470154,5.0,5.68672513961792
14,200,"[0.5527178415388515, 0.4829721450805664]",45.80006170272827,6.0,5.599136829376221
15,200,"[0.5527178415388515, 0.4829721450805664]",45.80604577064514,6.0,5.828334331512451
16,200,"[0.5527178415388515, 0.4829721450805664]",45.81103253364563,6.0,6.325209140777588
17,200,"[0.5527178415388515, 0.4829721450805664]",45.81701731681824,6.0,5.765102863311768
18,200,"[0.5527178415388515, 0.4829721450805664]",45.82200360298157,5.0,5.719610691070557
19,200,"[0.5527178415388515, 0.4829721450805664]",45.82699012756348,5.0,5.595898628234863
20,200,"[0.5527178415388515, 0.4829721450805664]",45.83297419548035,7.0,5.748454570770264
21,200,"[0.5527178415388515, 0.4829721450805664]",45.83796167373657,6.0,6.016425132751465
22,200,"[0.5527178415388515, 0.4829721450805664]",45.84394574165344,7.0,6.065125942230225
23,200,"[0.5527178415388515, 0.4829721450805664]",45.848931550979614,6.0,6.031680583953857
24,200,"[0.5527178415388515, 0.4829721450805664]",45.854915380477905,5.0,5.339767932891846
25,200,"[0.5527178415388515, 0.4829721450805664]",45.859902143478394,7.0,6.608951091766357
26,200,"[0.5527178415388515, 0.4829721450805664]",45.86488890647888,6.0,5.8054022789001465
27,200,"[0.5527178415388515, 0.4829721450805664]",45.87087345123291,7.0,6.115920543670654
28,200,"[0.5527178415388515, 0.4829721450805664]",45.875861167907715,7.0,5.373517990112305
29,200,"[0.5527178415388515, 0.4829721450805664]",45.88184356689453,6.0,5.546548366546631
30,200,"[0.5527178415388515, 0.4829721450805664]",45.88683009147644,5.0,5.51082181930542
31,200,"[0.5527178415388515, 0.4829721450805664]",45.89181661605835,6.0,5.829376220703125
32,200,"[0.5527178415388515, 0.4829721450805664]",45.89729571342468,7.0,5.731299877166748
33,200,"[0.5527178415388515, 0.4829721450805664]",45.90327763557434,5.0,5.656378269195557
34,200,"[0.5527178415388515, 0.4829721450805664]",45.90829014778137,5.0,5.576940059661865
35,200,"[0.5527178415388515, 0.4829721450805664]",45.9142484664917,5.0,5.546951770782471
36,200,"[0.5527178415388515, 0.4829721450805664]",45.91923499107361,5.0,5.818058490753174
37,200,"[0.5527178415388515, 0.4829721450805664]",45.92422151565552,5.0,6.0941996574401855
38,200,"[0.5527178415388515, 0.4829721450805664]",45.930214166641235,6.0,6.513449192047119
39,200,"[0.5527178415388515, 0.4829721450805664]",45.935192346572876,6.0,6.075416088104248
40,200,"[0.5527178415388515, 0.4829721450805664]",45.94117617607117,5.0,5.146950721740723
41,200,"[0.5527178415388515, 0.4829721450805664]",45.946163177490234,6.0,6.008861064910889
42,200,"[0.5527178415388515, 0.4829721450805664]",45.952147006988525,5.0,5.84368371963501
43,200,"[0.5527178415388515, 0.4829721450805664]",45.957133769989014,6.0,6.273184776306152
44,200,"[0.5527178415388515, 0.4829721450805664]",45.964115142822266,6.0,5.555964946746826
45,200,"[0.5527178415388515, 0.4829721450805664]",45.97109603881836,7.0,6.548950672149658
46,200,"[0.5527178415388515, 0.4829721450805664]",45.97708034515381,7.0,6.257343769073486
47,200,"[0.5527178415388515, 0.4829721450805664]",45.98406100273132,6.0,5.860041618347168
48,200,"[0.5527178415388515, 0.4829721450805664]",45.98904824256897,7.0,6.509757041931152
49,200,"[0.5527178415388515, 0.4829721450805664]",45.99503207206726,7.0,6.778398036956787
50,200,"[0.5527178415388515, 0.4829721450805664]",46.000524282455444,5.0,5.529404163360596
51,200,"[0.5527178415388515, 0.4829721450805664]",46.006508111953735,6.0,5.74769926071167
52,200,"[0.5527178415388515, 0.4829721450805664]",46.012491941452026,6.0,6.259464740753174
53,200,"[0.5527178415388515, 0.4829721450805664]",46.017478704452515,8.0,6.225963115692139
54,200,"[0.5527178415388515, 0.4829721450805664]",46.023462772369385,7.0,6.221428394317627
55,200,"[0.5527178415388515, 0.4829721450805664]",46.029446840286255,5.0,5.836287021636963
56,200,"[0.5527178415388515, 0.4829721450805664]",46.035430908203125,6.0,5.577266693115234
57,200,"[0.5527178415388515, 0.4829721450805664]",46.04141449928284,5.0,5.7254319190979
58,200,"[0.5527178415388515, 0.4829721450805664]",46.046401500701904,7.0,6.396774768829346
59,200,"[0.5527178415388515, 0.4829721450805664]",46.052385091781616,6.0,6.282580852508545
60,200,"[0.5527178415388515, 0.4829721450805664]",46.058369398117065,4.0,5.335409641265869
61,200,"[0.5527178415388515, 0.4829721450805664]",46.064353227615356,7.0,6.505758762359619
62,200,"[0.5527178415388515, 0.4829721450805664]",46.07033729553223,5.0,5.628339767456055
63,200,"[0.5527178415388515, 0.4829721450805664]",46.07632112503052,7.0,6.045076370239258
64,200,"[0.5527178415388515, 0.4829721450805664]",46.08230519294739,6.0,6.448342800140381
65,200,"[0.5527178415388515, 0.4829721450805664]",46.087291955947876,5.0,5.7696075439453125
66,200,"[0.5527178415388515, 0.4829721450805664]",46.09327697753906,6.0,5.836789608001709
67,200,"[0.5527178415388515, 0.4829721450805664]",46.099260330200195,5.0,5.263112545013428
68,200,"[0.5527178415388515, 0.4829721450805664]",46.10524320602417,6.0,5.674746036529541
69,200,"[0.5527178415388515, 0.4829721450805664]",46.110230684280396,6.0,6.6922287940979
70,200,"[0.5527178415388515, 0.4829721450805664]",46.116214752197266,8.0,5.7707743644714355
71,200,"[0.5527178415388515, 0.4829721450805664]",46.121201276779175,5.0,5.851848125457764
72,200,"[0.5527178415388515, 0.4829721450805664]",46.12618851661682,5.0,5.990476131439209
73,200,"[0.5527178415388515, 0.4829721450805664]",46.13317060470581,6.0,6.551573276519775
74,200,"[0.5527178415388515, 0.4829721450805664]",46.13915467262268,8.0,6.014281749725342
75,200,"[0.5527178415388515, 0.4829721450805664]",46.14513850212097,7.0,5.750041484832764
76,200,"[0.5527178415388515, 0.4829721450805664]",46.152119636535645,7.0,6.109926700592041
77,200,"[0.5527178415388515, 0.4829721450805664]",46.158103704452515,5.0,5.809521198272705
78,200,"[0.5527178415388515, 0.4829721450805664]",46.164088010787964,6.0,5.851674556732178
79,200,"[0.5527178415388515, 0.4829721450805664]",46.170071601867676,3.0,5.3765716552734375
80,200,"[0.5527178415388515, 0.4829721450805664]",46.176055669784546,7.0,6.291015148162842
